iter	Passed	Remaining
0	1	147
1	2	124
2	3	109
3	4	97
4	4	93
5	5	90
6	6	87
7	7	84
8	8	81
9	8	78
10	9	76
11	10	77
12	11	77
13	12	76
14	13	75
15	14	73
16	14	72
17	15	70
18	16	69
19	16	67
20	18	67
21	18	66
22	19	65
23	20	63
24	21	63
25	21	61
26	22	61
27	23	60
28	24	58
29	24	58
30	25	56
31	26	55
32	27	54
33	27	54
34	28	52
35	29	51
36	30	51
37	31	51
38	32	50
39	33	49
40	34	49
41	34	47
42	35	46
43	36	45
44	36	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	52	29
64	52	28
65	53	27
66	54	26
67	55	26
68	55	25
69	56	24
70	57	23
71	58	22
72	59	21
73	59	20
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	65	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	76	4
94	77	4
95	77	3
96	78	2
97	79	1
98	80	0
99	81	0
